320,0.488948902
310,0.513476945
300,0.537755011
290,0.561830187
280,0.585735255
270,0.609491097
260,0.633108658
250,0.656590635
240,0.679933053
230,0.703126853
220,0.726159418
210,0.749016121
200,0.771681756
195,0.782938333
190,0.794141813
185,0.805290643
180,0.81638341
175,0.827418825
170,0.838395713
165,0.849312968
160,0.860169488
155,0.870964079
150,0.881695319
145,0.892361377
140,0.902959768
135,0.913487072
130,0.923938536
125,0.934307655
120,0.944585656
115,0.954760971
110,0.964818751
105,0.974740505
100,0.984504062
95,0.994084045
90,1.003453073
85,1.0125839
80,1.021452538
75,1.030042092
70,1.038347215
65,1.046378269
60,1.054165562
58,1.057223523
56,1.060255646
54,1.063267492
52,1.066265577
50,1.069257608
48,1.072252546
46,1.075260969
44,1.078295515
42,1.081371438
40,1.084507523
38,1.087727369
36,1.091061454
34,1.094550508
32,1.098251123
30,1.102246185
29,1.104391854
28,1.1066654
27,1.109097738
26,1.111731892
25,1.114630069
24,1.117888008
23,1.1216654
22,1.126263685
21,1.132395392
20,1.142995985
19,1.164176954
18,1.188857992
17,1.208866454
16,1.226209823
15,1.242601677
14.5,1.250843685
14,1.259275931
13.5,1.268012162
13,1.277174746
12.5,1.2869052
12,1.297376662
11.5,1.308810262
11,1.321497592
10.5,1.3358317
10,1.352345592
9.75,1.361631231
9.5,1.371729969
9.25,1.382729708
9,1.394685908
8.75,1.407591685
8.5,1.421358338
8.25,1.435822154
8,1.450776323
7.8,1.462946331
7.6,1.475170746
7.4,1.487312246
7.2,1.499229808
7,1.510800938
6.8,1.521925969
6.6,1.532538008
6.4,1.542620408
6.2,1.552199746
6,1.561323223
5.8,1.570041677
5.6,1.578402123
5.4,1.5864456
5.2,1.5942073
5,1.601717154
4.9,1.6053858
4.8,1.609000792
4.7,1.612564777
4.6,1.616080192
4.5,1.619549323
4.4,1.622974346
4.3,1.626357154
4.2,1.6296997
4.1,1.633003669
4,1.636270746
3.9,1.6395024
3.8,1.642700123
3.7,1.645865254
3.6,1.648999085
3.5,1.652102815
3.4,1.655177562
3.3,1.658224462
3.2,1.661244492
3.1,1.664238662
3,1.667207862
2.9,1.670153
2.8,1.673074854
2.7,1.675974269
2.6,1.678851962
2.5,1.681708669
2.4,1.684545077
2.3,1.687361831
2.2,1.690159585
2.1,1.692938885
2,1.695700354
1.95,1.697074569
1.9,1.698444515
1.85,1.6998103
1.8,1.701171931
1.75,1.702529492
1.7,1.703883054
1.65,1.705232662
1.6,1.706578369
1.55,1.707920285
1.5,1.7092584
1.45,1.7105928
1.4,1.711923531
1.35,1.713250677
1.3,1.714574246
1.25,1.7158943
1.2,1.7172109
1.15,1.718524092
1.1,1.719833931
1.05,1.721140446
1,1.722443685
0.98,1.722964092
0.96,1.723483977
0.94,1.724003346
0.92,1.724522215
0.9,1.725040592
0.88,1.725558446
0.86,1.7260758
0.84,1.726592669
0.82,1.727109038
0.8,1.727624938
