310,1000
273.16,1002.3
240,1004.5
200,1008
170,1011.5
135,1017
100,1024.5
77,1032.5
65,1038
50,1048
40,1057
30,1070
25,1081
20,1100.75
19,1104.9362
18.5,1107.1926
18,1109.571
17.5,1112.0815
17,1114.7355
16.5,1117.5456
16,1120.526
15.5,1123.6929
15,1127.0643
14.5,1130.6606
14,1134.5053
13.5,1138.6251
13,1143.0506
12.5,1147.8174
12,1152.9667
11.5,1158.5465
11,1164.6135
10.5,1171.2348
10,1178.4901
9.5,1186.4758
9,1195.3086
8.5,1205.1316
8,1216.1227
7.5,1228.5047
7,1242.5622
6.5,1258.6633
6,1277.2937
5.5,1299.11
5,1325.013
4.5,1356.2975
4,1394.8697
3.5,1443.6823
3,1510.64
2.5,1601.73
2,1736.69
1.5,1958.3
1,2389.32
0.95,2457.34
0.9,2532.88
0.85,2617.29
0.8,2712.24
0.75,2819.86
0.7,2942.93
0.65,3085.08
0.6,3251.18
0.55,3447.96
0.5,3684.94
0.45,3976.04
0.4,4342.56
0.35,4818.71
0.3,5463.4
0.25,6387.33
0.2,7826.8
0.15,10393.91
0.1,16330.52
0.05,46127
